Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
ArduPilot,18.1,19.35,11.91,24.84,17.04,23.35,15.39,9.7,10.22,13.16,9.13,8.59,4.16,4.71,2.31
systemd,8.88,10.84,12.04,9.39,6.88,12.97,5.6,2.18,3.8,5.41,5.53,3.32,2.89,2.3,1.36
ppy,6.49,0.86,3.95,5.2,3.71,3.04,3.6,5.0,3.63,4.31,3.31,6.66,3.06,3.66,2.53
o3de,6.55,8.49,9.73,9.45,9.8,8.16,9.47,6.96,6.32,8.2,5.42,8.0,4.72,4.58,2.19
helix-editor,14.35,11.93,16.64,9.35,22.63,10.15,21.49,12.0,13.26,9.55,8.37,6.7,8.33,6.08,1.7
cloudflare,8.88,6.95,5.76,3.57,3.32,7.02,6.88,6.39,6.18,4.33,3.73,6.62,3.37,3.07,1.04
bitnami,3.11,2.03,4.75,5.01,3.78,3.99,4.41,2.5,3.26,2.31,2.83,2.64,2.91,1.7,0.9
appsmithorg,9.1,10.93,10.37,10.31,10.61,13.83,10.31,9.09,7.24,8.58,8.2,7.39,7.81,5.6,3.29
go-gitea,10.53,7.55,4.03,7.99,7.19,13.16,12.54,9.42,7.46,7.19,7.14,6.14,4.51,3.79,1.32
Homebrew,1.74,1.54,2.45,2.06,2.39,2.3,2.32,2.02,2.11,2.99,1.96,1.6,1.26,0.84,0.42
tachiyomiorg,1.71,2.37,1.09,1.71,1.93,0.63,0.73,0.8,0.7,1.49,1.79,1.16,0.54,0.78,1.66
mlflow,6.28,6.71,6.64,7.64,5.77,2.82,6.64,4.53,2.95,4.42,2.84,2.77,4.93,2.77,1.7
zulip,18.04,22.73,21.48,21.68,20.37,19.6,20.42,14.04,15.09,8.1,9.98,16.84,9.72,6.39,2.84
trinodb,29.57,29.11,28.26,25.96,21.42,18.91,13.79,14.34,13.87,10.75,12.4,10.25,9.67,7.4,3.16
ray-project,14.6,11.91,13.3,11.34,15.51,12.9,8.19,10.63,12.93,8.32,9.94,13.36,6.97,4.33,2.79
grafana,7.47,14.53,18.07,12.05,19.1,14.32,21.69,11.61,16.9,12.41,11.01,11.65,3.95,4.9,3.56
open-telemetry,3.84,4.08,4.5,5.69,6.52,3.08,5.16,4.77,2.94,4.19,5.56,4.79,2.23,2.02,0.99
getsentry,3.98,5.23,4.02,3.4,3.41,4.44,4.62,4.63,3.69,2.61,3.23,5.09,2.9,2.78,1.49
CleverRaven,5.08,8.49,12.19,7.07,11.11,11.78,10.79,8.87,12.13,14.22,16.63,18.96,14.96,6.79,1.93
quarkusio,3.98,3.87,5.06,6.63,8.21,5.84,7.89,5.32,4.21,4.25,4.65,6.8,3.82,2.38,1.93
SerenityOS,4.25,6.22,5.01,7.39,7.46,7.47,6.26,7.81,7.68,5.82,7.18,7.87,5.05,2.97,1.65
open-mmlab,20.65,14.48,13.64,13.93,20.45,41.31,10.28,10.1,14.08,9.78,7.97,9.42,6.13,3.91,4.17
expo,8.07,10.48,8.41,5.26,8.03,7.3,5.15,7.45,6.39,3.59,6.11,3.81,4.08,2.49,2.14
conda-forge,19.88,26.08,23.27,23.85,15.35,13.27,16.67,11.08,8.15,9.46,6.1,8.64,9.56,7.24,2.72
alibaba,11.25,31.55,4.05,11.29,4.19,4.68,8.24,4.5,4.38,3.31,3.58,5.29,7.74,4.77,1.85
argoproj,8.57,18.89,11.87,14.32,8.89,17.47,13.43,12.73,16.39,14.2,13.12,19.84,10.25,9.49,1.8
azerothcore,12.72,12.68,10.77,8.33,9.22,22.04,10.74,9.24,16.4,10.77,12.05,14.67,6.8,4.15,1.64
mdn,9.18,9.32,10.99,10.69,7.16,5.76,4.87,5.68,6.42,4.78,4.5,5.93,4.73,3.35,2.06
